335.978	367	335.992	403	335.979	379	335.977	434	335.978	349	335.98	-1327	335.9045	-2901	335.915	-4505	335.965	-5919
335.979	367	335.993	407	335.98	385	335.979	435	335.979	348	335.982	-1329	335.9055	-2927	335.916	-4498	335.966	-5920
335.98	368	335.995	408	335.981	385	335.98	434	335.98	351	335.983	-1330	335.9065	-2947	335.917	-4486	335.968	-5912
335.982	370	335.996	416	335.983	385	335.981	429	335.981	357	335.984	-1324	335.9085	-2957	335.918	-4484	335.969	-5903
335.983	373	335.997	423	335.984	386	335.983	428	335.983	361	335.986	-1319	335.9095	-2952	335.92	-4497	335.97	-5902
335.984	376	335.998	423	335.985	388	335.984	436	335.984	361	335.987	-1317	335.9105	-2952	335.921	-4521	335.972	-5901
335.985	379	336	424	335.987	385	335.985	439	335.985	364	335.988	-1314	335.9115	-2940	335.922	-4532	335.973	-5900
335.987	380	336.001	423	335.988	385	335.986	441	335.986	367	335.989	-1312	335.9135	-2921	335.923	-4523	335.974	-5902
335.988	384	336.002	420	335.989	390	335.988	445	335.988	366	335.991	-1316	335.9145	-2903	335.925	-4502	335.975	-5903
335.989	386	336.004	420	335.99	394	335.989	445	335.989	368	335.992	-1318	335.9155	-2890	335.926	-4476	335.977	-5906
335.99	387	336.005	421	335.992	396	335.99	444	335.99	372	335.993	-1314	335.9165	-2887	335.927	-4455	335.978	-5907
335.992	389	336.006	423	335.993	395	335.991	445	335.991	373	335.994	-1314	335.9185	-2881	335.929	-4454	335.979	-5907
335.993	389	336.007	425	335.994	394	335.993	446	335.993	374	335.996	-1315	335.9195	-2877	335.93	-4469	335.98	-5907
335.994	390	336.009	427	335.995	397	335.994	450	335.994	375	335.997	-1316	335.9205	-2873	335.931	-4479	335.982	-5902
335.996	389	336.01	426	335.997	404	335.995	452	335.995	376	335.998	-1316	335.9225	-2879	335.932	-4486	335.983	-5902
335.997	388	336.011	427	335.998	410	335.996	452	335.997	377	335.999	-1316	335.9235	-2874	335.934	-4477	335.984	-5902
335.998	387	336.012	424	335.999	413	335.998	449	335.998	375	336.001	-1314	335.9245	-2868	335.935	-4464	335.985	-5900
335.999	389	336.014	424	336	414	335.999	448	335.999	373	336.002	-1313	335.9255	-2870	335.936	-4448	335.987	-5910
336.001	389	336.015	427	336.002	415	336	451	336	379	336.003	-1308	335.9275	-2872	335.937	-4437	335.988	-5911
336.002	391	336.016	430	336.003	417	336.002	454	336.002	382	336.005	-1301	335.9285	-2861	335.939	-4472	335.989	-5913
336.003	391	336.017	434	336.004	421	336.003	457	336.003	380	336.006	-1302	335.9295	-2848	335.94	-4501	335.99	-5913
336.004	392	336.019	436	336.005	420	336.004	461	336.004	378	336.007	-1302	335.9305	-2854	335.941	-4502	335.992	-5924
336.006	394	336.02	441	336.007	417	336.005	461	336.005	381	336.008	-1303	335.9325	-2859	335.942	-4483	335.993	-5932
336.007	397	336.021	440	336.008	416	336.007	460	336.007	380	336.01	-1301	335.9335	-2863	335.944	-4464	335.994	-5933
336.008	401	336.023	435	336.009	423	336.008	469	336.008	374	336.011	-1300	335.9345	-2859	335.945	-4464	335.996	-5929
336.009	405	336.024	440	336.011	427	336.009	475	336.009	372	336.012	-1298	335.9355	-2865	335.946	-4480	335.997	-5920
336.011	407	336.025	441	336.012	427	336.01	476	336.01	377	336.013	-1296	335.9375	-2884	335.947	-4489	335.998	-5918
336.012	410	336.026	438	336.013	429	336.012	477	336.012	383	336.015	-1295	335.9385	-2884	335.949	-4490	335.999	-5921
336.013	412	336.028	438	336.014	425	336.013	477	336.013	383	336.016	-1290	335.9395	-2885	335.95	-4487	336.001	-5923
336.015	412	336.029	437	336.016	424	336.014	477	336.014	381	336.017	-1289	335.9415	-2885	335.951	-4490	336.002	-5920
336.016	412	336.03	439	336.017	424	336.015	481	336.015	387	336.018	-1288	335.9425	-2889	335.953	-4479	336.003	-5913
336.017	414	336.031	445	336.018	425	336.017	481	336.017	388	336.02	-1287	335.9435	-2892	335.954	-4473	336.004	-5902
336.018	418	336.033	449	336.019	427	336.018	487	336.018	388	336.021	-1289	335.9445	-2884	335.955	-4469	336.006	-5896
336.02	421	336.034	446	336.021	428	336.019	489	336.019	394	336.022	-1290	335.9465	-2867	335.956	-4448	336.007	-5895
336.021	422	336.035	446	336.022	431	336.021	489	336.021	395	336.024	-1282	335.9475	-2859	335.958	-4427	336.008	-5896
336.022	422	336.036	443	336.023	441	336.022	484	336.022	397	336.025	-1280	335.9485	-2862	335.959	-4421	336.009	-5913
336.023	420	336.038	445	336.024	450	336.023	482	336.023	399	336.026	-1274	335.9495	-2882	335.96	-4423	336.011	-5918
336.025	420	336.039	448	336.026	449	336.024	480	336.024	401	336.027	-1269	335.9515	-2897	335.961	-4428	336.012	-5919
336.026	420	336.04	450	336.027	445	336.026	484	336.026	399	336.029	-1272	335.9525	-2897	335.963	-4432	336.013	-5924
336.027	421	336.042	457	336.028	446	336.027	486	336.027	400	336.03	-1278	335.9535	-2885	335.964	-4427	336.015	-5916
336.028	423	336.043	461	336.029	446	336.028	485	336.028	404	336.031	-1278	335.9545	-2875	335.965	-4433	336.016	-5898
336.03	428	336.044	461	336.031	446	336.029	488	336.029	406	336.032	-1279	335.9565	-2877	335.966	-4447	336.017	-5897
336.031	432	336.045	459	336.032	448	336.031	494	336.031	402	336.034	-1284	335.9575	-2885	335.968	-4458	336.018	-5901
336.032	434	336.047	455	336.033	448	336.032	499	336.032	405	336.035	-1282	335.9585	-2888	335.969	-4475	336.02	-5898
