2.00324	-7.5	2.00339	2.00306
2.00323	0	2.00323	2.00323
2.00324	7.5	2.00306	2.00339
2.00326	15	2.00288	2.00352
2.0033	22.5	2.00271	2.00361
2.00334	30	2.00257	2.00367
2.0034	37.5	2.00245	2.00368
2.00346	45	2.00237	2.00364
2.00351	52.5	2.00233	2.00356
2.00357	60	2.00234	2.00344
2.00361	67.5	2.0024	2.0033
2.00365	75	2.00249	2.00313
2.00367	82.5	2.00262	2.00295
2.00368	90	2.00278	2.00278
2.00367	97.5	2.00295	2.00262
2.00365	105	2.00313	2.00249
2.00361	112.5	2.0033	2.0024
2.00357	120	2.00344	2.00234
2.00351	127.5	2.00356	2.00233
2.00346	135	2.00364	2.00237
2.0034	142.5	2.00368	2.00245
2.00334	150	2.00367	2.00257
2.0033	157.5	2.00361	2.00271
2.00326	165	2.00352	2.00288
2.00324	172.5	2.00339	2.00306
2.00323	180	2.00323	2.00323
2.00324	187.5	2.00306	2.00339
2.00326	195	2.00288	2.00352
2.0033	202.5	2.00271	2.00361
2.00334	210	2.00257	2.00367
2.0034	217.5	2.00245	2.00368
2.00346	225	2.00237	2.00364
2.00351	232.5	2.00233	2.00356
2.00357	240	2.00234	2.00344
2.00361	247.5	2.0024	2.0033
